shouted,Anger
bellowed,Anger
yelled,Anger
snapped,Anger
cautioned,Anger
rebuked,Anger
consoled,Affection
comforted,Affection
reassured,Affection
admired,Affection
soothed,Affection
astounded,Excitement
shouted,Excitement
yelled,Excitement
babbled,Excitement
gushed,Excitement
exclaimed,Excitement
whispered,Fear
stuttered,Fear
stammered,Fear
innocently,Fear
gasped,Fear 
urged,Fear 
hissed,Fear 
babbled,Fear 
blurted,Fear
declared,Determination 
insisted,Determination 
maintained,Determination 
commanded,Determination
sighed,Happiness 
murmured,Happiness 
gushed,Happiness 
laughed,Happiness
cried,Fear
mumbled,Sadness 
sobbed,Sadness 
sighed,Sadness 
lamented,Sadness
jabbed,Conflict 
sneered,Conflict 
rebuked,Conflict 
hissed,Conflict 
scolded,Conflict 
demanded,Conflict 
threatened,Conflict 
insinuated,Conflict 
spat,Conflict 
glowered,Conflict
teased,Amusement 
joked,Amusement
laughed,Amusement 
chuckled,Amusement 
chortled,Amusement 
sniggered,Amusement 
tittered,Amusement 
guffawed,Amusement 
giggled,Amusement 
roared,Amusement
related,Storytelling 
recounted,Storytelling 
continued,Storytelling 
emphasized,Storytelling 
remembered,Storytelling 
recalled,Storytelling 
resumed,Storytelling 
concluded,Storytelling